Title,Genres,Release Date,Country,Movie Rating,Review Rating,Movie Run Time,Cast,Language,Budget
2: Voodoo Academy (2012), Horror,01/10/2012,USA,RATED,4.5,75,Alex Fox|Michelle Bauer|Brandon Schinaman|Josh Randall|Shawn McCormick|Alex Bugaj|Richie Nuzzolese,English,1544
Return of the Killer Shrews (2012), Horror,04/07/1905,USA,RATED,2.7,84,John Schneider|Jennifer Lyons|Bruce Davison|James Best|Jason-Shane Scott|Sean Flynn|Rick Hurst|Jeneta St. Clair|Katherine Randolph|Maggie Wagner|Holly Weber|Christopher Goodman|David Browning|Megan Rebelo|Jason Nguyen,English,1885
Slaughter Drive (2017), Horror,12/10/2017,USA,RATED,9,90,Vincent Bombara|Chris Crighton|Ben Dietels|Danielle Dietels|Seth Gontkovic|David Hammer|Ollis Patrick Hanley|Nikki Howell|Ryan Lintner|Eric Martinez|Nikki Nader|Blake O'Donnell|David Ogrodowski|Steve Rudzinski|Carrie Shoberg,English,1598
Septic Man (2013), Horror,15/08/2014,USA,RATED,4.1,83,Jason David Brown|Molly Dunsworth|Julian Richings|Robert Maillet|Timothy Burd|Stephen McHattie|Nicole G. Leier|Charlie Baker|Tony Burgess,English,1136
The Perfect House (2013), Horror,05/07/1905,USA,RATED,4.3,84,Felissa Rose|Jonathan Tiersten|John Philbin|Dustin Stevens|Monique Parent|Andrea Vahl|William A. Robertson|Kris Smith|Timothy Dugan|Alex Victoria|Michael Wagner|Holly Greene|Hans Hernke|Becky Friedman|Angelina Leigh,English,1345
Her Cry: La Llorona Investigation (2013), Horror,19/04/2013,USA,NOT RATED,5.4,89,Nichole Ceballos|James Ezrin|Ron Gelner|Everardo Guzman|Parker Riggs|Gabrielle Santamauro,English,908
The Canadoo (2016), Horror,02/11/2016,USA,RATED,4,74,Tyler Buckingham|Alina Lia|Dréy Wigfall|Ali Roberts|Teddy Cole|Brook Todd,English,1738
Inoperable (2017), Horror,09/07/1905,USA,RATED,9.3,90,Danielle Harris|Katie Keene|Chris Hahn|Jeff Denton|Crystal Cordero|Cher Hubsher|Gene Michael|Barry Aslinger|Isabella Sofia Menna|Khris Colgate|Michelle Marin|Dawn Hubsher|Jared Gopman|Brittni Amber Lombardo|Philip Schene,English,1932
Hellriser (2017), Horror,09/10/2017,UK,RATED,5,75,Steven Dolton|Charlie Bond|Nathan Head|Raven Lee|Andrew Coughlan|Evadne Fisher|Georgia Annable|Emmeline Kellie|M.J. Simpson|Marcus Langford|Kin Ma|Charlene Marie|Amelia Valentine,English,1558
Yaamirukka Bayamey (2014), Comedy| Horror,09/05/2014,India,RATED,7.2,125,Krishna Sekhar|Rupa Manjari|Karunakaran|Oviya|Aadhav Kannadasan|Anaswara|Nalinikanth|Mayilsamy|Bose Venkat|Namo Narayana|Mahanadhi Shankar|Sona Heiden|Devipriya|Balaji Mohan|Rayil Ravi,Other,1063
Grindsploitation (2016), Action| Crime| Horror| Sci-Fi| Thriller,31/10/2016,USA,UNRATED,6.2,140,P.J. Soles|Lloyd Kaufman|Shawn C. Phillips|Shane Ryan|Nathan Head|Jessica Ann Brownlie|Scarlet Fry|Sadie Katz|Nicola Fiore|Bryan Hanna|Rami Hilmi|Melissa Hollett|Max Wasa|Jason Impey|Caleb Emerson,English,1485
Ular Tangga (2017), Horror| Thriller,09/03/2017,Indonesia,RATED,7.1,90,Ahmad Affandy|Alessia Cestaro|Shareefa Daanish|Egy Fedly|Yova Garcia|Roy Martin|Vicky Monica|Fauzan Nasrul|Randa Septian|Guntur Triyoga,Other,1391
Ek Thi Daayan (2013), Horror| Romance| Thriller,18/04/2013,India,RATED,5.7,135,Emraan Hashmi|Konkona Sen Sharma|Kalki Koechlin|Huma Qureshi|Pavan Malhotra|Rajatabha Dutta|Vishesh Tiwari|Sara Arjun|Bhavesh Balchandani|Pallavi Batra|Shirina Sambyal|Deepak Dhadwal|Habib|Kanupriya Gupta|Prem Parmar,Hindi,1142
Haunted House on Sorority Row (2014), Horror,21/02/2014,USA,NOT RATED,5.6,81,Erin R. Ryan|Marylee Osborne|Iabou Windimere|Joni Durian|Tonjia Atomic|Haley Madison|Joe Kidd|Tara Clark|Chandra McCracken|Rachael Redolfi|Eric Widing|Mike Hilinski|Brandi Baird|Rachel Ritter,English,606
Victimized (2014), Drama| Horror| Thriller,27/09/2014,USA,RATED,6.9,80,Michael Kenneth Fahr|Sarah Nicklin|Cuyle Carvin|Ellen J. Pilch|Jesse Murphy|Ron Phippen|Dustin Hubbard|Michael Omiecinski|Candice Cole|Mark Debenedictis|T.C. Top Cat Taylor|Joey Garcia|Peter Lucibello,English,612
The Unwanted (2014), Drama| Horror| Mystery| Romance,31/03/2014,USA,RATED,4,95,Hannah Fierman|Christen Orr|William Katt|Lynn Talley|Kylie Brown|Elizabeth Hunter|Chris Burns|Neal R. Hazard|Jane Bass|Robert Hatch,English,1219
Hotel Inferno (2013), Action| Horror,16/12/2013,USA,RATED,4.7,80,Rayner Bourton|Michael Howe|Jessica Carroll|Christian Riva|Wilmar Zimosa|Santiago Ortaez|Monica Muñoz|Riccardo Valentini|Mauro Migliorini|Bonini Mino|Pierluigi Nitas|Enrique Sorres|Giulio De Santi|Carlos F.|Alessia Knox,English,1137
Demonte Colony (2015), Horror| Thriller,22/05/2015,India,RATED,7,116,Arulnidhi|Ramesh Thilak|Sananth|M.S. Bhaskar|Jangiri Madhumitha|Yogi Babu|Inigo|Arun Pandian|Singampuli|Ram Vaitheeswaran|Abishek Joseph George,Other,26
The Onania Club (2017), Drama| Horror| Thriller,09/07/1905,USA,RATED,7.8,90,,English,1667
Play Motel (1979), Crime| Horror| Romance| Thriller,25/08/2015,USA,RATED,5.3,90,Ray Lovelock|Anna Maria Rizzoli|Mario Cutini|Antonella Antinori|Patrizia Behn|Enzo Fisichella|Marina Hedman|Mario Novelli|Marino Masé|Patrizia Webley|Vittorio Ripamonti|Bob Balisteri|Bruno Di Luia|Franco Beltramme|Michele Zurlaro,Italian,542
Turned (2015), Drama| Horror,04/09/2015,USA,RATED,7.3,90,Josh Rothman|Christian Chase|Roberto Lombardi|Athena Brensberger|Seregon O'Dassey|MacKenzie Medwin|Sid O'Connell|Marissa Centrella|Arthur Koutsoumbaris|Joseph Pridmore|Mary Benedetto|Jonathan Boothe|Tara Haight|Edward John Socienski,English,1867
Miss Zombie (2013), Horror,14/09/2013,Japan,RATED,6.3,85,Makoto Togashi|Ayaka Komatsu|Tôru Tezuka|Tarô Suruga|Tateto Serizawa|Hihio Iwanaga|Takaya Yamauchi|Riku Ohnishi,Japanese,143
Bloody Chainsaw Girl (2016), Action| Horror,20/02/2016,Japan,RATED,4.6,90,Mizuho Abe|Seijirô Nakamura|Ray Nishimura|Kayako Okuda|Seira Satô|Yûki Tamaki|Rio Uchida|Mari Yamachi,Japanese,1816
Fatal Frame (2014), Horror,26/09/2014,Japan,RATED,5.8,104,Aoi Morikawa|Ayami Nakajô|Kôdai Asaka|Minori Hagiwara|Fujiko Kojima|Jun Miho|Karen Miyama|Noriko Nakagoshi|Yuri Nakamura|Kasumi Yamaya,Japanese,1358
Visceral: Entre las cuerdas de la locura (2012), Horror,29/11/2012,Chile,RATED,5.4,69,Felipe Eluti|Carolina Salles|Felipe Ruiz|José Manuel García|Gabriela Arancibia|Macarena Jiménez|Valentina Varela|Mauricio Dukeduro|Tamara Zuñega|Daniela Pardo|Lucas García|Pia Cardenas|Carolina Palacios|Claudia Mena|Juan José Vargas,Spanish,46
The Dark Castle (2015), Horror| Thriller,28/03/2015,Indonesia,RATED,5.1,80,Rachel Albert|Bruno Henry|Laurent Paris|Rahajeng Sekar Putri|Panji Saputra,English,196
The Ouija Exorcism (2015), Horror,06/10/2015,USA,UNRATED,2.1,87,J. Damian Anastasio|Brittney Bertier|Cameron Bigelow|Jay Brothers|Tony Harutyunyan|Lola Kelly|Laura Kirchner|Walker Mintz|Ben Morrison|Lynne Newton|Michael Palladino|Julia Rae|Branden Smith,English,1725
Soldiers of the Damned (2015), Action| Horror| Thriller| War,08/08/2015,UK,RATED,3.6,99,Gil Darnell|Miriam Cooke|Lucas Hansen|Tom Sawyer|Jason Kennedy|Mark Fountain|Matthew John Morley|Nicholas Keith|Nicky Bell|Renny Krupinski|Alan French|Andonis Anthony|Natalia Ryumina|Andrei Zayats|Stuart Adams,English,65
Smothered (2016), Comedy| Horror,29/03/2016,USA,NOT RATED,4.1,96,Kane Hodder|R.A. Mihailoff|Bill Moseley|Dane Rhodes|Malcolm Danare|Don Shanks|Rachel Alana Handler|Amy Brassette|Ritchie Montgomery|Michael Berryman|Andrew Bowen|Joseph Randy Causin|Edward A. Chambers|Rebecca Collins|Aiden Flowers,English,189
Necrophobia 3D (2014), Horror| Mystery| Thriller,19/09/2014,USA,RATED,4.2,75,Luis Machín|Raúl Taibo|Viviana Saccone|Gerardo Romano|Julieta Cardinali|Hugo Astar,Spanish,1873
Roommate (2013), Drama| Horror| Thriller,09/11/2013,Japan,RATED,5.9,90,Keiko Kitagawa|Kyoko Fukada|Kengo Kôra|Mariko Tsutsui|Minori Hagiwara|Yukijirô Hotaru|Chihiro Ohtsuka|Hiroyuki Onoue|Tomorô Taguchi,Japanese,558
Kawan Aku Mati Dalam Rumah Sewa (2014), Comedy| Horror,14/08/2014,Malaysia,RATED,3.2,90,Abam Bocey|Acey Bocey|Fad Bocey|Epy Kodiang|Shah Rempit|Yassin Yahya,Other,1422
Hate Crime (2012), Action| Horror| Thriller,04/07/1905,USA,NOT RATED,5.1,73,Jody Barton|Nicholas Adam Clark|Greg Depetro|Debbie Diesel|Tim Moran|Ian Roberts|Sloane Morgan Siegel|Maggie Wagner,English,1431
Scars (2016), Horror,23/01/2017,UK,RATED,3.9,108,Danielle Cole|Neale Kimmel|Matt Wells|Eric Regimbald|Ophilia Davis|Nigel Downer|Chris Handfield|Greg LeGros|Jennifer McAuliffe|Jon Pressick|Ryan Alexander Scott II|Tennessee Webb,English,1252
Legend Has It (2009), Horror,17/09/2014,UK,NOT RATED,4.1,95,Todd Oeltze|Julia Fazakerly|Heath Finn|Amanda Ward|Jared Cohn|Theodore Perkins|Andreas Wigand|Teresa Berkin|Peter Choyce|Sebastien Szumilas|Mark Irvingsen|Jeff Blumberg|Jim Asseltyne|Mike Nelsen|Randy Hallusen,English,939
Sociopathia (2015), Horror,19/11/2015,USA,RATED,4.3,86,Nicola Fiore|Asta Paredes|Ruby Larocca|Tammy Jean|George Stover|Rich Mallery|Nicolette le Faye|Brandy Noir|Desiree Saetia|Tabetha Ray|Matthew Garrett|Cori Dials|Sean Murray|Dante Rene|Nick Decarlo,English,1882
Echoes (2014), Drama| Horror| Thriller,18/05/2015,Sweden,NOT RATED,4.4,93,Kate French|Steven Brand|Steve Hanks|Billy Wirth|Caroline Whitney Smith|Kevin Brewerton|Nicolas Charles|Ivory Dortch|Tina Huang|Stacey Souther|Oxley,English,29
In the Dark (2015), Horror| Thriller,06/10/2015,USA,RATED,4.1,85,Scott Aaker|Andria Armstrong|Shannon Beals|Olivia Bishop|Clay Brocker|Raven Bryant|Emily Byrd|Chris Carson|Chris Cavolo|Vince Cusomato|Leah Fincher|Katie Groshong|Cooper Guy|Justin Hand|William J. Harrison,English,1067
Dabbe: Bir Cin Vakasi (2012), Horror,03/08/2012,Turkey,RATED,6.3,119,Elcin Atamgüc|Nihan Aypolat|Pervin Bagdat|Elif Erdal|Koray Kadiraga|Mete Sahinoglu|Ceren Sertac|Su Burcu Yazgi|Ismail Yildiz|Nalan Örgöt,Turkish,298
The Haunter of the Dark (2015), Horror| Thriller,28/01/2015,Russia,RATED,6.9,83,Sergey A.|Giza|Dmitriy Khmelyov|Vladislav Krivenchuk|Sanek,Russian,156
Hectic Knife (2016), Action| Comedy| Horror,28/07/2016,USA,RATED,6.6,90,Peter Litvin|Georgia Kate Haege|J.J. Brine|John Munnelly|Don Abood|Michael Anthony|Andrea Baquero|Robert Bella|Richie Blackwood|Joe Cipriano|Niki Cipriano|Edward Colon|Andy Could|Alexis Cundiff|Leah Debene,English,1347
Toxin: 700 Days Left on Earth (2015), Action| Drama| Horror,19/04/2015,USA,RATED,8.4,90,Lee Majors|Isabella Blake-Thomas|Sarati|Elizabeth Blake-Thomas|Preslee Bishop|Nick W. Nicholson|Shawn Welling|Alexis B. Santiago|Michelle Ellen Jones|Bob Boudreaux|Lee Gailey|Matthew Carter|Reneé Redden-Somoza|Brandon Itz|Katia Hadjiyska,English,1813
La Niña de la Mina (2016), Horror,01/07/2016,Mexico,RATED,3.8,82,Gerardo Taracena|Regina Blandón|Daniel Martínez|Thomas Ebert|Susana Lozano|Sophie Gómez|Fernanda Sasse|Bárbara Islas|Fernando Banda|Jose Angel Bichir|Paola Galina|Ruy Senderos|Víctor Huggo Martin|Mary Paz Mata|Elena Puig,Other,668
Beneath the Old Dark House (2015), Horror,13/03/2015,USA,RATED,6.5,90,Mandy Divine|Tom Gore|Bradley Eugene Greer|Kelli-Anne Harris|Christy Johnson|Patrick G. Keenan|Kely McClung|Casey Murray|Paul Sieber|Kaila Spargo|Marius Wiley|Michael Ray Williams,English,1116
Stag Hunt (2015), Adventure| Comedy| Drama| Fantasy| Horror| Thriller,16/05/2015,USA,RATED,3.6,94,Mackenzie Astin|Neil Cole|Chris Rogers|Donald Morrison|Julie T. Wallace,English,1090
Fetish Dolls Die Laughing (2012), Comedy| Fantasy| Horror,24/04/2012,USA,NOT RATED,2,100,Laura Romeo|Michael McGovern|Aaron Bernard|Angelo Bruni|Diana Silvio|Antietam|Kimberly Naim|Tiffany Apan|Angie Azur|Stacey Bartlebaugh-Gmys|Daniel Baxter|Michael Burkett|Diane Cholock|Mike Danylo|David Dietz,English,1192
Shame the Devil (2013), Crime| Horror| Thriller,09/09/2014,USA,NOT RATED,3.5,94,Simon Phillips|Juliette Bennett|Will de Meo|Bradford West|Doug Bradley|Kellie Shirley|Peter Woodward|Peter Barrett|Lucy Clements|Jack Murray|Martin Fisher|Leo Goodman|Thomas Worthington|Warwick Evans|Charlotte Lewis,English,1303
Holla II (2013), Comedy| Horror,19/04/2013,USA,RATED,6.9,90,Vanessa Bell Calloway|Kiely Williams|Greg Cipes|Trae Ireland|Allison Kyler|Teairra Mari|Liana Mendoza|Omar Gooding|Laila Odom|Akeem Smith|Shelli Boone|Crystal Hoang|Masasa Moyo|Chase Anthony|Cyann Ribeiro,English,12
Made Me Do It (2017), Drama| Fantasy| Horror| Thriller,29/09/2017,USA,RATED,8.3,90,Anna B. Shaffer|Kyle Van Vonderen|Cortney Palm|Jason Gregory London|Liston Spence|Elain Rinehart|Cole Jenkins|Daniel E. Kafer|Kytia L'Amour|George Capacete|Andrew Harmon|Katherine McKalip|Emily Tess Miller|Latrell Hart,English,1572
The Tale of the Voodoo Prostitute (2012), Horror,05/06/2012,USA,NOT RATED,4.1,75,Jayde Kelley|Heather McCormick|Charles Buchanan|Martin Ezelle|Joshua Winch|Trent Hotman|Kenneth Duane|Derrick Pointer|Roger Nelson|Ron Clemons|Christina Wiley|Stefany Torres|Jeannie Stroumpos|Kate Lindeman|Suavey Harrison,English,696
Necrophile Passion (2013), Horror,18/08/2013,Germany,RATED,3.1,52,Günther Brandl|Eldrid Remy|Katharina Buchberger|Sandra Pucher|Simone R.,German,313
Killer Campout (2017), Horror,21/07/2017,USA,RATED,5.8,86,Herschell Gordon Lewis|John A. Russo|Nadia White|George Stover|Julio Bana Fernandez|Chris O'Brocki|Gary Lee Vincent|James L. Edwards|Roger Yawson|Jenny Jannetty|Rosanna Nelson|Andrea Marie|Lindsay Lockhart|Luba Hansen|Jason Delgado,English,1124
Honeyspider (2014), Horror| Thriller,18/10/2014,USA,NOT RATED,3.5,76,Frank J. Aard|Anjali Alm-Basu|Brad Baker|Katie Bearden|Franki Boegeman|Roberto Bricchi|Mariah Brown|Kenny Caperton|Haley Clutter|Ethan Dunn|Gina Eaton|Morgan Fraley|Ann Hale|Josh Hasty|David Hensley,English,1601
Pinwheel (2017), Horror,10/01/2017,USA,RATED,4.7,88,Julie Ann Dawson|Ashley Couture|David Gere|Ox Baker|Jami Tennille|Ashley Tramonte|Greg Nutcher|Marisa Hunter|Mark Resnik|Jeffrey Alan Solomon|Buck Biestek|Nicole Bardis|Gunther Grambo|Gary Wolfenden|Bill Ziegler,English,412
Dead Walkers: Rise of the 4th Reich (2013), Horror,31/07/2013,USA,RATED,1.4,75,Philip Berzamanis|Jane Haslehurst|Bob Lee|Nathan Head|Rudy Barrow|Jack Burrows|Nikki Webster|Rachel Littlewood|Eirian Cohen|Melissa Hollett|Graham Keith Gill|Dayna Shuffle|Craig Canning|Kay Vardy|Tom Vardy,English,1687
Demon Tongue (2016), Horror,21/06/2016,USA,RATED,2.3,85,Jack Davis|Debbie College|Seth Gontkovic|Jessica Long|Carrie Shoberg|Jeff Monahan|John W. Iwanonkiw|Lou Consolo|Dan Mahon|Matt Mahon|Sheri Rice|John H. Scott|Alex Zimmerman|Jayden Zimmerman,English,902
Depth (2016), Horror| Sci-Fi,08/07/1905,USA,RATED,7.2,90,Trin Miller|Josh Truax|Brian Lewis|Rachelle Henry|Scott C. Brown|Mahria Zook|Adrian DiGiovanni|Moses Olson|Wonder Russell|Tabitha Bastien|Don Thacker,English,81
Parasitic (2012), Horror| Sci-Fi,26/06/2012,USA,RATED,2.2,79,Camille Balsamo|Amanda Beck|Carrie Carnes|Miguel de la Rosa|Isle Gallagher|James Garcia|Dan Gill|Bianca Holland|Bjorn Jiskoot Jr.|Marcus Jordan|James Dean Lucé|Tim Martin|Stephanie Mir|Margarita Neusheva|Julie Anne Prescott,English,438
True Love Ways (2015), Horror| Thriller,01/10/2015,Germany,RATED,5.7,95,Anna Hausburg|David C. Bunners|Kai Michael Müller|Michael Greiling|Axel Hartwig|Anja Margoni|Beat Marti|Margarita Ruhl|Marcel Schneider|Christian Samuel Weber|Alina Sophia Wiegert,German,784
Hole (2010), Crime| Horror| Thriller,24/11/2015,USA,RATED,4.9,94,Jim Barile|Randall Barnes|Charlotte Bjornbak|Alina Bolshakova|Char Frost|Gavin Graham|Dennis Haggard|Theresa Holly|Teem Lucas|Joaquin Montalvan|Katherine Norland|Timothy John Norland|Patrick Prouty|Micki Quance|Paul E. Respass,English,404
Loverboy (2012), Horror| Thriller,17/03/2012,USA,NOT RATED,5.1,93,Kaitlyn Ale|Mildred Ciraco|Vincent Ciraco|Dorian Council|Sergio Dimaggio|Nicole Elias|Ryan Gilmer|Rebecca Hudson|Ryan C. James|Tammy Kane|Jessie LaBorn|Robert Lawrence|Anthony Michael Marks|Chad Martin|Lucas Martin,English,85
The Litch (2017), Horror,09/07/1905,USA,RATED,6.5,90,James Balsamo|Dave Stein|Tom Sizemore|Debra Lamb|Genoveva Rossi|Dick Warlock|Richard Chandler|Jasson Finney|Terra Strong|Robert Arensen|Elizabeth Daily|Sheila Marie|Lloyd Kaufman|John Krisovitch|Shelley Michelle,English,192
House with 100 Eyes (2013), Horror,05/07/1905,USA,NOT RATED,4.6,75,Jim Roof|Shannon Malone|Larissa Lynch|Liz Burghdorf|Andrew Hopper|Jade Bryce|Katie Costick|Kelly Cunningham|Lauren Lakis|Michael O'Grady Moriarty|Max Potesky,English,274
3 A.M. 3D: Part 2 (2014), Horror,16/01/2014,Thailand,RATED,5.1,105,Sinjai Plengpanich|Supanart Jittaleela|Ray MacDonald|Thawat Pornrattanaprasert|Hataichat Eurkittiroj|Intach Leorakwong|Jirawat Wachirasarunpat|Apapattra Meesang|Pongsatorn Sripinta|Patty Hokari|Pichasini Tanwiboon|Vorachai Nualsri|Suttasit Pottasak,Hindi,1682
